 Wavelength 	Wavelength Bin Width	CoRoT-1 b	CoRoT-1 b Error	HD-189733 b	HD-189733 b Error	TrES-3 b	TrES-3 b Error	WASP-4 b	WASP-4 b Error	WASP-12 b	WASP-12 b Error	WASP-79 b	WASP-79 b Error	 Wavelength 	Wavelength Bin Width	HAT-P-2 b	HAT-P-2 b Error	HAT-P-7 b	HAT-P-7 b Error	HAT-P-32 b	HAT-P-32 b Error	HAT-P-41 b	HAT-P-41 b Error	HAT-P-70 b	HAT-P-70 b Error	HD-209458 b 	HD-209458 b Error	KELT-1 b	KELT-1 b Error	KELT-7 b	KELT-7 b Error	KELT-9 b	KELT-9 b Error	WASP-18 b	WASP-18 b Error	WASP-19 b	WASP-19 b Error	WASP-43 b	WASP-43 b Error	WASP-74 b	WASP-74 b Error	WASP-76 b	WASP-76 b Error	WASP-77 A b	WASP-77 A b Error	WASP-103 b	WASP-103 b Error	 Wavelength 	Wavelength Bin Width	WASP-121 b	WASP-121 b Error	 Wavelength 	Wavelength Bin Width	Kepler-13 A b	Kepler-13 A b Error	 Wavelength 	Wavelength Bin Width	WASP-33 b	WASP-33 b Error
1.1262	0.0308	0.0682	0.0149	0.0101	0.0056	0.0515	0.0209	0.0378	0.0183	0.1547	0.0255	0.0158	0.0046	1.1263	0.0219	0.0089	0.0031	0.0349	0.0052	0.0302	0.0108	0.0296	0.0108	0.0359	0.0062	0.0223	0.0014	0.0433	0.0086	0.0376	0.0042	0.1275	0.0035	0.0874	0.0023	0.1384	0.0282	0.0320	0.0082	0.0262	0.0071	0.0607	0.0039	0.0203	0.0049	0.1201	0.0080	0.8125	0.0250	0.0213	0.0097	1.1420	0.0360	0.0662	0.0071	1.1550	0.0440	0.1190	0.0027
1.1563	0.0293	0.0367	0.0149	0.0038	0.0038	0.0263	0.0188	0.0271	0.0177	0.1492	0.0239	0.0134	0.0049	1.1478	0.0211	0.0117	0.0031	0.0380	0.0043	0.0454	0.0116	0.0383	0.0117	0.0381	0.0057	0.0218	0.0014	0.0547	0.0078	0.0395	0.0046	0.1324	0.0033	0.0844	0.0023	0.1152	0.0231	0.0330	0.0074	0.0329	0.0069	0.0711	0.0040	0.0251	0.0048	0.1173	0.0078	0.8375	0.0250	0.0373	0.0071	1.1780	0.0350	0.0507	0.0065	1.1990	0.0440	0.1210	0.0033
1.1849	0.0279	0.0797	0.0159	0.0123	0.0044	0.0088	0.0137	0.0206	0.0152	0.1612	0.0228	0.0218	0.0067	1.1686	0.0206	0.0117	0.0030	0.0448	0.0048	0.0553	0.0109	0.0444	0.0094	0.0391	0.0062	0.0209	0.0014	0.0539	0.0075	0.0350	0.0045	0.1304	0.0027	0.0844	0.0021	0.0888	0.0271	0.0338	0.0069	0.0316	0.0063	0.0736	0.0043	0.0436	0.0054	0.1060	0.0074	0.8625	0.0250	0.0548	0.0069	1.2130	0.0350	0.0814	0.0065	1.2430	0.0440	0.0980	0.0026
1.2123	0.0269	0.0937	0.0167	0.0112	0.0054	0.0288	0.0206	0.0858	0.0208	0.1253	0.0226	0.0382	0.0049	1.1888	0.0198	0.0053	0.0027	0.0368	0.0045	0.0363	0.0124	0.0333	0.0101	0.0397	0.0057	0.0224	0.0014	0.0604	0.0064	0.0340	0.0046	0.1377	0.0034	0.0867	0.0021	0.1365	0.0230	0.0386	0.0084	0.0376	0.0082	0.0597	0.0048	0.0443	0.0050	0.1240	0.0077	0.8875	0.0250	0.0527	0.0060	1.2480	0.0350	0.0728	0.0066	1.2790	0.0280	0.1150	0.0039
1.2390	0.0265	0.0600	0.0158	0.0023	0.0036	0.0210	0.0185	0.0491	0.0171	0.1781	0.0224	0.0386	0.0060	1.2084	0.0193	0.0095	0.0032	0.0360	0.0043	0.0718	0.0117	0.0738	0.0093	0.0416	0.0049	0.0236	0.0014	0.0797	0.0064	0.0364	0.0041	0.1408	0.0035	0.0950	0.0022	0.1165	0.0265	0.0526	0.0077	0.0276	0.0075	0.0772	0.0053	0.0452	0.0043	0.1379	0.0075	0.9125	0.0250	0.0648	0.0059	1.2830	0.0350	0.0798	0.0066	1.3180	0.0500	0.1120	0.0026
1.2657	0.0269	0.0578	0.0164	0.0153	0.0049	0.0169	0.0157	0.0808	0.0174	0.1632	0.0232	0.0257	0.0094	1.2275	0.0190	0.0139	0.0033	0.0399	0.0051	0.0389	0.0106	0.0609	0.0093	0.0435	0.0066	0.0280	0.0014	0.0743	0.0063	0.0371	0.0048	0.1401	0.0036	0.0913	0.0022	0.1325	0.0269	0.0560	0.0083	0.0374	0.0066	0.0544	0.0041	0.0509	0.0040	0.1228	0.0075	0.9375	0.0250	0.0683	0.0050	1.3180	0.0340	0.0838	0.0070	1.3660	0.0460	0.1160	0.0016
1.2925	0.0267	0.0477	0.0158	0.0141	0.0051	0.0174	0.0162	0.0394	0.0169	0.1762	0.0274	0.0223	0.0059	1.2465	0.0189	0.0141	0.0029	0.0481	0.0056	0.0473	0.0101	0.0588	0.0096	0.0418	0.0069	0.0275	0.0013	0.0566	0.0067	0.0371	0.0040	0.1431	0.0030	0.0944	0.0022	0.1297	0.0264	0.0626	0.0087	0.0270	0.0068	0.0633	0.0050	0.0418	0.0043	0.1163	0.0077	0.9625	0.0250	0.0742	0.0056	1.3520	0.0360	0.0684	0.0067	1.4140	0.0500	0.1220	0.0021
1.3190	0.0263	0.0740	0.0141	0.0198	0.0049	0.0351	0.0182	0.0249	0.0178	0.1739	0.0216	0.0266	0.0052	1.2655	0.0192	0.0130	0.0031	0.0492	0.0048	0.0467	0.0096	0.0384	0.0093	0.0358	0.0054	0.0258	0.0013	0.0687	0.0067	0.0319	0.0045	0.1436	0.0038	0.0918	0.0020	0.1664	0.0265	0.0548	0.0076	0.0393	0.0057	0.0692	0.0042	0.0395	0.0040	0.1275	0.0081	0.9875	0.0250	0.0674	0.0047	1.3880	0.0340	0.0640	0.0066	1.4620	0.0460	0.1250	0.0020
1.3454	0.0265	0.0840	0.0172	0.0122	0.0052	0.1050	0.0267	0.0318	0.0165	0.1769	0.0226	0.0279	0.0069	1.2848	0.0193	0.0245	0.0030	0.0538	0.0056	0.0377	0.0103	0.0361	0.0110	0.0296	0.0069	0.0261	0.0014	0.0616	0.0082	0.0432	0.0043	0.1463	0.0041	0.0934	0.0022	0.1531	0.0213	0.0407	0.0067	0.0393	0.0068	0.0742	0.0047	0.0535	0.0040	0.1169	0.0076	1.0125	0.0250	0.0724	0.0050	1.4220	0.0360	0.0767	0.0071	1.5100	0.0500	0.1250	0.0021
1.3723	0.0274	0.0943	0.0155	0.0150	0.0046	0.0863	0.0205	0.0264	0.0147	0.1447	0.0256	0.0190	0.0061	1.3038	0.0188	0.0153	0.0034	0.0527	0.0042	0.0480	0.0124	0.0598	0.0087	0.0351	0.0054	0.0244	0.0014	0.0685	0.0065	0.0441	0.0040	0.1449	0.0035	0.0955	0.0022	0.1528	0.0269	0.0512	0.0068	0.0415	0.0055	0.0770	0.0053	0.0531	0.0041	0.1324	0.0081	1.0375	0.0250	0.0715	0.0047	1.4580	0.0350	0.0684	0.0078	1.5580	0.0460	0.1200	0.0021
1.4000	0.0280	0.0772	0.0161	0.0060	0.0044	0.1188	0.0227	0.0496	0.0173	0.1937	0.0234	0.0249	0.0057	1.3226	0.0188	0.0165	0.0025	0.0529	0.0048	0.0610	0.0116	0.0498	0.0094	0.0496	0.0068	0.0244	0.0014	0.0688	0.0069	0.0335	0.0043	0.1440	0.0036	0.0974	0.0023	0.1474	0.0290	0.0436	0.0078	0.0390	0.0062	0.0836	0.0052	0.0574	0.0042	0.1325	0.0068	1.0625	0.0250	0.0826	0.0054	1.4930	0.0350	0.0755	0.0072	1.6060	0.0500	0.1220	0.0027
1.4283	0.0285	0.1016	0.0157	0.0188	0.0048	0.1343	0.0276	0.0969	0.0185	0.1958	0.0232	0.0219	0.0045	1.3415	0.0189	0.0134	0.0024	0.0430	0.0048	0.0405	0.0102	0.0622	0.0088	0.0380	0.0063	0.0233	0.0015	0.0809	0.0071	0.0352	0.0042	0.1400	0.0036	0.1018	0.0023	0.1289	0.0244	0.0420	0.0067	0.0432	0.0061	0.0870	0.0050	0.0472	0.0040	0.1395	0.0065	1.0875	0.0250	0.0808	0.0047	1.5280	0.0340	0.0688	0.0075	3.6000	Spz3	0.2600	0.0500
1.4572	0.0294	0.0845	0.0182	0.0157	0.0052	0.1228	0.0217	0.0848	0.0210	0.2375	0.0254	0.0149	0.0061	1.3605	0.0192	0.0147	0.0035	0.0586	0.0046	0.0709	0.0122	0.0760	0.0092	0.0440	0.0078	0.0240	0.0014	0.0703	0.0073	0.0475	0.0042	0.1451	0.0036	0.1042	0.0023	0.1427	0.0207	0.0386	0.0068	0.0402	0.0062	0.0976	0.0052	0.0389	0.0043	0.1213	0.0072	1.1125	0.0250	0.0746	0.0053	1.5620	0.0360	0.0850	0.0071	4.5000	Spz4	0.4100	0.0200
1.4873	0.0308	0.1243	0.0186	0.0227	0.0053	0.0498	0.0185	0.0723	0.0165	0.2661	0.0237	0.0154	0.0066	1.3801	0.0199	0.0187	0.0035	0.0506	0.0051	0.0712	0.0156	0.0498	0.0068	0.0370	0.0060	0.0252	0.0015	0.0607	0.0079	0.0462	0.0048	0.1463	0.0031	0.1029	0.0022	0.1238	0.0250	0.0463	0.0064	0.0506	0.0078	0.0903	0.0044	0.0413	0.0040	0.1461	0.0069	1.1263	0.0219	0.0868	0.0037	1.5980	0.0340	0.0994	0.0078				
1.5186	0.0318	0.0787	0.0185	0.0277	0.0054	0.0510	0.0232	0.0642	0.0196	0.2197	0.0243	0.0323	0.0060	1.4000	0.0200	0.0178	0.0033	0.0470	0.0049	0.0820	0.0105	0.0497	0.0093	0.0479	0.0063	0.0231	0.0015	0.0741	0.0069	0.0461	0.0039	0.1560	0.0035	0.1105	0.0023	0.0953	0.0261	0.0419	0.0080	0.0361	0.0069	0.0882	0.0048	0.0468	0.0038	0.1517	0.0069	1.1478	0.0211	0.0955	0.0037	1.6320	0.0350	0.1094	0.0078				
1.5514	0.0337	0.1265	0.0168	0.0228	0.0043	0.0511	0.0187	0.0307	0.0171	0.2019	0.0264	0.0190	0.0058	1.4202	0.0203	0.0142	0.0033	0.0526	0.0050	0.0643	0.0093	0.0647	0.0090	0.0514	0.0080	0.0228	0.0014	0.0706	0.0063	0.0444	0.0049	0.1514	0.0038	0.1166	0.0022	0.1600	0.0309	0.0406	0.0072	0.0270	0.0063	0.0955	0.0051	0.0413	0.0043	0.1545	0.0076	1.1686	0.0206	0.0967	0.0035	3.6000	Spz3	0.1560	0.0310				
1.5862	0.0360	0.0993	0.0188	0.0184	0.0056	0.0276	0.0204	0.0511	0.0178	0.1687	0.0247	0.0330	0.0067	1.4406	0.0206	0.0190	0.0038	0.0556	0.0054	0.0650	0.0110	0.0666	0.0087	0.0431	0.0067	0.0251	0.0014	0.0717	0.0084	0.0452	0.0046	0.1500	0.0036	0.1172	0.0024	0.1678	0.0230	0.0422	0.0068	0.0457	0.0065	0.0988	0.0048	0.0412	0.0037	0.1377	0.0075	1.1888	0.0198	0.1004	0.0035	4.5000	Spz4	0.2220	0.0230				
1.6237	0.0390	0.0286	0.0162	0.0150	0.0055	0.0502	0.0215	0.0812	0.0176	0.2099	0.0260	0.0283	0.0071	1.4615	0.0212	0.0136	0.0028	0.0523	0.0053	0.0451	0.0107	0.0505	0.0100	0.0498	0.0062	0.0261	0.0013	0.0591	0.0071	0.0468	0.0043	0.1532	0.0040	0.1145	0.0027	0.1582	0.0196	0.0422	0.0081	0.0414	0.0059	0.1139	0.0045	0.0417	0.0043	0.1462	0.0074	1.2084	0.0193	0.1035	0.0037								
3.6000	Spz3	0.4150	0.0420	0.2560	0.0140	0.3560	0.0350	0.3190	0.0310	0.4210	0.0110	0.1394	0.0088	1.4831	0.0220	0.0147	0.0027	0.0603	0.0051	0.0299	0.0115	0.0613	0.0108	0.0535	0.0066	0.0267	0.0014	0.0677	0.0065	0.0434	0.0045	0.1510	0.0032	0.1162	0.0024	0.1515	0.0266	0.0474	0.0074	0.0457	0.0052	0.1160	0.0044	0.0469	0.0039	0.1345	0.0074	1.2275	0.0190	0.0986	0.0036								
4.5000	Spz4	0.4820	0.0420	0.2140	0.0200	0.3720	0.0540	0.3430	0.0270	0.4280	0.0120	0.1783	0.0106	1.5053	0.0224	0.0237	0.0035	0.0650	0.0053	0.0833	0.0133	0.0595	0.0093	0.0538	0.0079	0.0277	0.0014	0.0680	0.0072	0.0509	0.0049	0.1498	0.0038	0.1194	0.0025	0.1798	0.0264	0.0408	0.0067	0.0367	0.0056	0.1035	0.0051	0.0481	0.0043	0.1474	0.0084	1.2465	0.0189	0.1059	0.0035								
5.8000	Spz5			0.3100	0.0340	0.4490	0.0970			0.6960	0.0600			1.5280	0.0230	0.0219	0.0033	0.0567	0.0057	0.0749	0.0107	0.0713	0.0088	0.0528	0.0065	0.0291	0.0014	0.0825	0.0082	0.0476	0.0045	0.1421	0.0038	0.1217	0.0024	0.1918	0.0232	0.0529	0.0059	0.0500	0.0051	0.1067	0.0045	0.0469	0.0039	0.1334	0.0075	1.2655	0.0192	0.1062	0.0037								
8.0000	Spz8			0.3910	0.0220	0.4750	0.0460			0.6960	0.0960			1.5516	0.0241	0.0204	0.0031	0.0544	0.0048	0.0668	0.0124	0.0649	0.0099	0.0407	0.0071	0.0288	0.0014	0.0625	0.0083	0.0466	0.0049	0.1438	0.0041	0.1161	0.0025	0.1589	0.0226	0.0568	0.0073	0.0506	0.0072	0.1038	0.0048	0.0579	0.0040	0.1433	0.0072	1.2848	0.0193	0.1044	0.0037								
16.0000	Spz16			0.5190	0.0200									1.5763	0.0253	0.0189	0.0036	0.0596	0.0050	0.0683	0.0108	0.0636	0.0100	0.0520	0.0078	0.0326	0.0014	0.0672	0.0108	0.0522	0.0052	0.1481	0.0041	0.1167	0.0028	0.2068	0.0207	0.0613	0.0065	0.0539	0.0062	0.1138	0.0053	0.0644	0.0037	0.1561	0.0074	1.3038	0.0188	0.0989	0.0037								
24.0000	Spz24			0.5980	0.0380									1.6021	0.0264	0.0242	0.0037	0.0690	0.0053	0.0567	0.0105	0.0693	0.0095	0.0514	0.0070	0.0349	0.0014	0.0748	0.0087	0.0444	0.0046	0.1505	0.0044	0.1174	0.0029	0.2032	0.0233	0.0632	0.0074	0.0504	0.0068	0.1067	0.0056	0.0765	0.0042	0.1571	0.0079	1.3226	0.0188	0.1086	0.0037								
														1.6295	0.0283	0.0230	0.0032	0.0626	0.0053	0.0686	0.0104	0.0762	0.0097	0.0426	0.0086	0.0338	0.0014	0.0578	0.0085	0.0435	0.0056	0.1434	0.0043	0.1091	0.0032	0.2177	0.0274	0.0550	0.0066	0.0500	0.0062	0.1031	0.0054	0.0730	0.0039	0.1586	0.0076	1.3415	0.0189	0.1127	0.0037								
														3.6000	Spz3	0.0996	0.0072	0.0980	0.0170	0.3630	0.0160	0.1842	0.0319			0.1190	0.0070	0.1950	0.0100	0.1688	0.0046			0.3020	0.0150	0.4830	0.0250	0.3773	0.0138	0.1446	0.0066	0.2979	0.0063	0.1846	0.0094	0.3919	0.0218	1.3605	0.0192	0.1184	0.0040								
